RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],vehic wind float
(1.517875; Inf],(14.065; Inf],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517325;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],(14.065; Inf],[-Inf;2.695],(1.775; Inf],[-Inf; Inf],[-Inf;0.055],(8.255;10.075],(0.4; Inf],[-Inf; Inf],headlamps
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind non-float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],[-Inf;0.055],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517875; Inf],(14.065; Inf],[-Inf;2.695],(1.775; Inf],[-Inf; Inf],(0.745; Inf],[-Inf;7.02],(0.4; Inf],[-Inf; Inf],headlamps
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
[-Inf;1.517325],[-Inf;14.065],[-Inf;2.695],(1.775; Inf],[-Inf; Inf],[-Inf;0.055],(8.255;10.075],(0.4; Inf],[-Inf; Inf],headlamps
(1.517875; Inf],(14.065; Inf],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],[-Inf;2.695],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(10.075; Inf],[-Inf;0.4],[-Inf; Inf],containers
(1.517875; Inf],(14.065; Inf],[-Inf;2.695],[-Inf;1.39],[-Inf; Inf],[-Inf;0.055],(10.075; Inf],[-Inf;0.4],[-Inf; Inf],tableware
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
(1.517875; Inf],(14.065; Inf],[-Inf;2.695],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(10.075; Inf],[-Inf;0.4],[-Inf; Inf],build wind non-float
(1.517325;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
[-Inf;1.517325],(14.065; Inf],[-Inf;2.695],(1.775; Inf],[-Inf; Inf],[-Inf;0.055],(8.255;10.075],(0.4; Inf],[-Inf; Inf],headlamps
(1.517325;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],vehic wind float
(1.517875; Inf],[-Inf;14.065],[-Inf;2.695],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(10.075; Inf],[-Inf;0.4],[-Inf; Inf],containers
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517325;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],[-Inf;2.695],(1.39;1.775],[-Inf; Inf],[-Inf;0.055],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],tableware
[-Inf;1.517325],(14.065; Inf],[-Inf;2.695],(1.775; Inf],[-Inf; Inf],[-Inf;0.055],(8.255;10.075],(0.4; Inf],[-Inf; Inf],headlamps
(1.517875; Inf],(14.065; Inf],[-Inf;2.695],(1.775; Inf],[-Inf; Inf],[-Inf;0.055],(10.075; Inf],[-Inf;0.4],[-Inf; Inf],tableware
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.775; Inf],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517325;1.517875],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],vehic wind float
(1.517325;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind float
(1.517325;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],vehic wind float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.775; Inf],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.745],(7.02;8.255],[-Inf;0.4],[-Inf; Inf],build wind non-float
[-Inf;1.517325],[-Inf;14.065],(2.695; Inf],(1.39;1.775],[-Inf; Inf],(0.055;0.745],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],build wind non-float
(1.517875; Inf],(14.065; Inf],[-Inf;2.695],(1.39;1.775],[-Inf; Inf],[-Inf;0.055],(8.255;10.075],[-Inf;0.4],[-Inf; Inf],tableware
